maintenance_id,machine_id,event_datetime,maintenance_type,failure_code,symptom_text,repair_action,downtime_minutes,parts_cost,labor_hours,technician_id,failure_severity,source_system
MT-000001,MCH-001,2025-08-22 17:39:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,95.82,2567.4,1.83,TECH-012,low,CMMS
MT-000002,MCH-001,2025-10-28 11:33:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,98.72,1858.61,4.36,TECH-001,low,CMMS
MT-000003,MCH-001,2026-01-19 12:42:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,169.06,7983.9,2.02,TECH-011,low,CMMS
MT-000004,MCH-001,2026-04-11 12:26:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,143.95,1850.06,2.12,TECH-011,low,CMMS
MT-000005,MCH-001,2026-06-21 12:10:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,95.74,4041.29,3.27,TECH-003,low,CMMS
MT-000006,MCH-001,2026-03-30 20:25:00,corrective,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,242.39,5337.64,15.83,TECH-005,medium,CMMS
MT-000007,MCH-001,2026-06-11 20:14:00,corrective,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,131.08,23662.54,8.89,TECH-007,medium,CMMS
MT-000008,MCH-002,2025-08-13 08:15:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,95.78,4273.49,2.88,TECH-013,low,CMMS
MT-000009,MCH-002,2025-10-02 19:11:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,83.43,5259.48,3.75,TECH-010,low,CMMS
MT-000010,MCH-002,2025-11-12 09:14:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,108.16,1351.35,3.65,TECH-014,low,CMMS
MT-000011,MCH-002,2025-12-30 18:57:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,58.82,6899.14,3.31,TECH-010,low,CMMS
MT-000012,MCH-002,2026-02-13 14:13:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,46.6,7647.45,1.62,TECH-004,low,CMMS
MT-000013,MCH-002,2026-04-07 16:51:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,157.72,3656.72,5.01,TECH-002,low,CMMS
MT-000014,MCH-002,2026-05-15 18:22:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,111.53,3537.89,1.99,TECH-011,low,CMMS
MT-000015,MCH-002,2026-06-26 10:29:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,106.55,5157.6,1.68,TECH-012,low,CMMS
MT-000016,MCH-002,2026-06-25 19:17:00,emergency,TOOLING,tool wear exceeded threshold; surface scratch defects increased,changed tool set; adjusted feed rate and checked first article,172.45,20151.55,5.43,TECH-016,high,CMMS
MT-000017,MCH-003,2025-10-05 16:09:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,126.34,1493.29,4.0,TECH-012,low,CMMS
MT-000018,MCH-003,2026-01-01 10:56:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,84.89,7122.97,4.13,TECH-003,low,CMMS
MT-000019,MCH-003,2026-03-27 13:09:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,71.21,3538.11,5.15,TECH-006,low,CMMS
MT-000020,MCH-003,2026-06-25 06:18:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,56.75,8496.79,3.71,TECH-009,low,CMMS
MT-000021,MCH-003,2025-09-08 20:14:00,emergency,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,448.77,5029.65,15.64,TECH-002,medium,CMMS
MT-000022,MCH-004,2025-09-13 09:32:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,87.81,2529.08,5.21,TECH-008,low,CMMS
MT-000023,MCH-004,2025-11-05 13:10:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,176.42,3927.26,5.0,TECH-001,low,CMMS
MT-000024,MCH-004,2025-12-15 14:29:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,59.65,4268.42,5.38,TECH-004,low,CMMS
MT-000025,MCH-004,2026-01-23 08:58:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,177.2,2443.99,2.86,TECH-003,low,CMMS
MT-000026,MCH-004,2026-03-09 07:55:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,64.52,6188.5,2.13,TECH-018,low,CMMS
MT-000027,MCH-004,2026-04-21 11:00:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,117.81,8274.02,1.99,TECH-018,low,CMMS
MT-000028,MCH-004,2026-06-13 11:48:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,133.47,7959.41,3.08,TECH-005,low,CMMS
MT-000029,MCH-004,2026-07-28 18:59:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,148.47,7904.37,4.54,TECH-012,low,CMMS
MT-000030,MCH-004,2026-06-14 10:36:00,emergency,SENSOR,sensor reading drift and repeated false alarm during production run,recalibrated sensor; replaced cable and verified signal quality,585.81,4922.79,17.05,TECH-004,high,CMMS
MT-000031,MCH-005,2025-08-20 06:55:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,89.68,6874.23,3.25,TECH-011,low,CMMS
MT-000032,MCH-005,2025-10-22 10:56:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,80.86,7789.7,5.4,TECH-003,low,CMMS
MT-000033,MCH-005,2025-12-19 16:54:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,86.22,2189.54,1.63,TECH-010,low,CMMS
MT-000034,MCH-005,2026-02-10 10:18:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,46.55,5095.94,3.25,TECH-018,low,CMMS
MT-000035,MCH-005,2026-04-22 06:20:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,116.44,3523.92,1.95,TECH-011,low,CMMS
MT-000036,MCH-005,2026-06-17 15:55:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,158.39,3134.24,3.3,TECH-013,low,CMMS
MT-000037,MCH-005,2025-09-20 05:31:00,corrective,HYDRAULIC,pressure fluctuation and oil temperature exceeded warning band,replaced hydraulic seal; flushed oil; pressure test completed,190.19,22765.31,5.7,TECH-015,high,CMMS
MT-000038,MCH-005,2026-04-04 21:31:00,emergency,SENSOR,sensor reading drift and repeated false alarm during production run,recalibrated sensor; replaced cable and verified signal quality,271.32,11597.28,13.47,TECH-002,high,CMMS
MT-000039,MCH-005,2026-07-20 20:21:00,corrective,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,671.74,36248.75,8.85,TECH-012,high,CMMS
MT-000040,MCH-006,2025-09-21 14:52:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,155.74,1691.74,3.09,TECH-017,low,CMMS
MT-000041,MCH-006,2025-11-24 06:05:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,71.61,7144.35,2.86,TECH-018,low,CMMS
MT-000042,MCH-006,2026-01-20 19:14:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,138.72,4007.13,3.61,TECH-018,low,CMMS
MT-000043,MCH-006,2026-04-01 20:17:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,104.65,4488.26,1.8,TECH-011,low,CMMS
MT-000044,MCH-006,2026-06-04 08:25:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,138.71,4507.5,3.42,TECH-002,low,CMMS
MT-000045,MCH-006,2025-10-22 14:03:00,corrective,BEARING,abnormal vibration and rising temperature before automatic stop,replaced bearing; realigned shaft; verified vibration baseline,503.53,23283.67,16.21,TECH-011,medium,CMMS
MT-000046,MCH-006,2025-11-22 22:49:00,corrective,TOOLING,tool wear exceeded threshold; surface scratch defects increased,changed tool set; adjusted feed rate and checked first article,147.15,21788.31,5.67,TECH-013,medium,CMMS
MT-000047,MCH-007,2025-09-06 19:31:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,166.61,6293.47,2.7,TECH-018,low,CMMS
MT-000048,MCH-007,2025-10-22 09:34:00,preventive,PM,scheduled preventive maintenance; inspection and calibration,lubricated moving parts; checked sensors; verified safety interlock,80.66,1252.85,2.8,TECH-013,low,CMMS
