week,lecture,etids_activity,dataset_support,key_files,student_output
1,Introduction to Emerging Trends in Information and Data Science,Course overview; group formation; pre-assessment; trend discussion,README; data catalog; scenario_ground_truth; plant and system overview,00_documentation/README.md; 00_documentation/scenario_ground_truth.csv; 00_documentation/data_catalog.csv,research interest map and selected manufacturing analytics problem
2,Foundations of Data Science & Research Methodology,Python data pipeline setup; literature search; research-mapping activity,raw-to-clean structure and research gap mapping,06_labs/research_mapping_cases.csv; 00_documentation/entity_relationship_map.csv,"problem statement, pipeline plan, data lineage sketch"
3,Data Wrangling & Feature Engineering,Pandas cleaning; feature engineering; data quality checklist,messy MES/ERP/SCADA/QMS data with defects and DQ ground truth,01_raw/mes/work_order.csv; 01_raw/scada/sensor_reading.csv; 04_model_targets/data_quality_issues_ground_truth.csv; 00_documentation/data_quality_rules.csv,cleaning script and feature table
4,Data Visualization and Decision Dashboard,Dashboard design with Power BI / Looker Studio; critique,star schema and dashboard summary tables,02_clean/star_schema/*; 05_dashboard/oee_summary_by_line.csv; 05_dashboard/plant_performance_summary.csv,"OEE, quality, downtime, delivery dashboard"
5,Advanced Machine Learning Methods,AutoML; SHAP; model comparison worksheet,classification and regression tables with labels,03_features/automl_modeling_table.csv; 03_features/quality_risk_features.csv; 03_features/delivery_risk_features.csv,model comparison and explainability summary
6,Neural Networks and Deep Learning,CNN; RNN/LSTM/GNN; transfer learning,"surface defect images, time series, and graph data",01_raw/images/defect_images/*; 01_raw/images/defect_image_metadata.csv; 03_features/graph_nodes.csv; 03_features/graph_edges_machine_product_supplier.csv; 01_raw/scada/sensor_reading.csv,"CNN image classifier, sequence model, or GNN prototype"
7,Generative AI and Synthetic Data,CTGAN synthetic data generation; prompt engineering; ethical reflection,"synthetic data profile, generation assumptions, Assignment 1 case",00_documentation/synthetic_generation_profile.json; 06_labs/assignment1_synthetic_data_case.csv,synthetic-data audit report and ethical risk reflection
8,Midterm Examination,Weeks 1-7 examination,review questions mapped to data pipeline stages,06_labs/midterm_dataset_review_questions.csv,written analytical answers
9,"MLOps, Model Deployment and Monitoring",Docker + FastAPI; MLflow; monitoring checklist,train/validation/test splits and drifted monitoring window,03_features/monitoring_reference.csv; 03_features/monitoring_current_drifted.csv; 03_features/quality_risk_features.csv,model API and drift monitoring report
10,Federated Learning and Privacy-Preserving Analytics,FL simulation; privacy risk discussion,plant-based client partitions and privacy risk records,03_features/federated_learning/*.csv; 01_raw/privacy/federated_client_map.csv; 01_raw/privacy/privacy_risk_records.csv,federated training simulation and privacy note
11,"Responsible AI, AI Governance and Ethics",Fairlearn; SHAP; governance case debate,"biased and mitigated model scores, audit rules, policy docs",03_features/responsible_ai_fairness_case.csv; 01_raw/nlp/rag_policy_docs.jsonl; 00_documentation/data_quality_rules.csv,fairness audit and AI governance memo
12,Natural Language Processing and Large Language Models,"Sentiment, NER, mini chatbot/RAG prototype","maintenance notes, complaint text, RAG policy documents",01_raw/nlp/maintenance_notes.csv; 01_raw/qms/customer_complaint.csv; 01_raw/nlp/rag_policy_docs.jsonl,sentiment/NER model or RAG chatbot
13,"Cloud Computing, Distributed Systems and Data Pipelines",Spark Streaming with Docker; Airflow pipeline,"large time-series CSV, JSONL event streams, raw/clean/features zones",01_raw/scada/sensor_reading.csv; 01_raw/scada/mqtt_telemetry.jsonl; 01_raw/edge/edge_device_log.jsonl,Spark or batch pipeline with orchestration plan
14,"IoT, Edge Analytics and Agentic AI",MQTT + InfluxDB; agentic AI demo; Assignment 2,"MQTT telemetry, edge logs, agent tasks",01_raw/scada/mqtt_telemetry.jsonl; 01_raw/edge/edge_device_log.jsonl; 06_labs/assignment2_iot_agentic_ai_tasks.csv,edge monitoring and multi-agent workflow design
15,"Blockchain, DLT and Term Project Symposium",Blockchain overview; term project symposium,"supply-chain transactions, smart-contract events, traceability links",01_raw/blockchain/supply_chain_transaction.csv; 01_raw/blockchain/smart_contract_event.csv; 06_labs/term_project_brief.md,traceability analysis and term project presentation
16,Final Examination,Weeks 9-15 examination,"integrated final case combining MLOps, FL, governance, NLP, cloud, IoT, and blockchain",06_labs/final_integrative_case_questions.csv,written analytical and integrative answers
