machine_id,plant_id,line_id,machine_name,machine_type,manufacturer,install_date,machine_age_years,criticality,nominal_speed_rpm,sensor_enabled,maintenance_interval_days,edge_device_id,source_system_machine_code
MCH-001,P01,L01,L01-PRESS-1,press,FuturaTech,2018-05-05,7.2,high,1800,1,75,EDGE-001,MCH-001
MCH-002,P01,L01,L01-SOLDERING-2,soldering,FuturaTech,2018-12-12,6.6,medium,2400,1,45,EDGE-002,MCH-002
MCH-003,P01,L01,L01-PACKER-3,packer,ThaiMech,2018-07-14,7.1,medium,1200,1,90,EDGE-003,MCH-003
MCH-004,P01,L01,L01-ROBOT_ARM-4,robot_arm,FuturaTech,2021-03-28,4.3,low,1200,1,45,EDGE-004,MC04
MCH-005,P01,L01,L01-PRESS-5,press,OmniMach,2023-05-06,2.2,low,1450,1,60,EDGE-005,MCH-005
MCH-006,P01,L01,L01-SOLDERING-6,soldering,FuturaTech,2021-01-07,4.6,medium,1450,1,60,EDGE-006,MCH-006
MCH-007,P01,L02,L02-ROBOT_ARM-1,robot_arm,NexLine,2016-09-20,8.9,medium,2400,1,45,EDGE-007,MC07
MCH-008,P01,L02,L02-PRESS-2,press,NexLine,2024-03-17,1.4,medium,2400,1,60,EDGE-008,MCH-008
MCH-009,P01,L02,L02-SOLDERING-3,soldering,NexLine,2018-12-21,6.6,medium,1450,1,75,EDGE-009,MCH-009
MCH-010,P01,L02,L02-PACKER-4,packer,ApexMotion,2019-10-24,5.8,medium,900,1,75,EDGE-010,MCH-010
MCH-011,P01,L02,L02-ROBOT_ARM-5,robot_arm,ApexMotion,2021-06-14,4.1,medium,900,1,60,EDGE-011,MCH-011
MCH-012,P01,L02,L02-PRESS-6,press,ThaiMech,2015-08-22,10.0,low,1200,1,75,EDGE-012,MC12
MCH-013,P02,L03,L03-PACKER-1,packer,FuturaTech,2020-03-19,5.4,high,2400,1,75,EDGE-013,MCH-013
MCH-014,P02,L03,L03-ROBOT_ARM-2,robot_arm,OmniMach,2018-01-04,7.6,low,2400,1,45,EDGE-014,MCH-014
MCH-015,P02,L03,L03-PRESS-3,press,ApexMotion,2021-12-04,3.7,critical,1450,1,75,EDGE-015,MCH-015
MCH-016,P02,L03,L03-SOLDERING-4,soldering,OmniMach,2019-02-07,6.5,medium,1800,1,45,EDGE-016,MCH-016
MCH-017,P02,L03,L03-PACKER-5,packer,ApexMotion,2018-12-20,6.6,critical,1200,1,45,EDGE-017,MCH-017
MCH-018,P02,L03,L03-ROBOT_ARM-6,robot_arm,ApexMotion,2019-06-27,6.1,high,2400,1,90,EDGE-018,MCH-018
MCH-019,P02,L04,L04-SOLDERING-1,soldering,FuturaTech,2019-09-20,5.9,low,1800,1,90,EDGE-019,MCH-019
MCH-020,P02,L04,L04-PACKER-2,packer,ApexMotion,2022-01-27,3.5,medium,2400,1,90,EDGE-020,MCH-020
MCH-021,P02,L04,L04-ROBOT_ARM-3,robot_arm,ApexMotion,2022-03-24,3.4,medium,1800,1,60,EDGE-021,MCH-021
MCH-022,P02,L04,L04-PRESS-4,press,OmniMach,2020-11-23,4.7,medium,1200,1,90,EDGE-022,MCH-022
MCH-023,P02,L04,L04-SOLDERING-5,soldering,OmniMach,2022-11-17,2.7,low,1800,1,60,EDGE-023,MCH-023
MCH-024,P02,L04,L04-PACKER-6,packer,NexLine,2023-01-15,2.5,medium,1200,1,60,EDGE-024,MCH-024
MCH-025,P03,L05,L05-PRESS-1,press,ApexMotion,2017-11-01,7.8,medium,1200,1,45,EDGE-025,MCH-025
MCH-026,P03,L05,L05-SOLDERING-2,soldering,NexLine,2017-01-23,8.5,medium,1450,1,60,EDGE-026,MCH-026
MCH-027,P03,L05,L05-PACKER-3,packer,NexLine,2021-07-17,4.0,high,1450,1,60,EDGE-027,MCH-027
MCH-028,P03,L05,L05-ROBOT_ARM-4,robot_arm,ApexMotion,2017-04-13,8.3,medium,2400,1,45,EDGE-028,MCH-028
MCH-029,P03,L05,L05-PRESS-5,press,FuturaTech,2020-09-09,4.9,medium,1800,1,90,EDGE-029,MCH-029
MCH-030,P03,L05,L05-SOLDERING-6,soldering,OmniMach,2019-01-12,6.6,medium,900,1,75,EDGE-030,MCH-030
MCH-031,P03,L06,L06-ROBOT_ARM-1,robot_arm,ThaiMech,2015-09-20,9.9,medium,900,1,60,EDGE-031,MCH-031
MCH-032,P03,L06,L06-PRESS-2,press,FuturaTech,2019-05-16,6.2,medium,2400,1,60,EDGE-032,MCH-032
MCH-033,P03,L06,L06-SOLDERING-3,soldering,FuturaTech,2017-06-08,8.2,medium,1450,1,90,EDGE-033,MC33
MCH-034,P03,L06,L06-PACKER-4,packer,ThaiMech,2023-12-14,1.6,medium,1800,1,75,EDGE-034,MCH-034
MCH-035,P03,L06,L06-ROBOT_ARM-5,robot_arm,NexLine,2019-10-30,5.8,low,1800,1,60,EDGE-035,MCH-035
MCH-036,P03,L06,L06-PRESS-6,press,FuturaTech,2018-02-14,7.5,medium,2400,1,45,EDGE-036,MCH-036
