complaint_id,shipment_id,customer_id,product_id,complaint_datetime,complaint_text,sentiment_label,named_entities,resolution_status
CMP-000001,SHP-000597,CUST-0090,PRD-019,2026-04-20 18:00:00,late delivery caused line stoppage at customer site. Product=Control Board 019; shipment=SHP-000597; probable root cause=production_delay.,negative,PRODUCT:PRD-019;SHIPMENT:SHP-000597;CAUSE:production_delay,under_review
CMP-000002,SHP-003344,CUST-0068,PRD-014,2026-05-31 14:00:00,late delivery caused line stoppage at customer site. Product=Industrial Switch 014; shipment=SHP-003344; probable root cause=logistics.,negative,PRODUCT:PRD-014;SHIPMENT:SHP-003344;CAUSE:logistics,open
CMP-000003,SHP-004241,CUST-0013,PRD-070,2026-06-25 12:00:00,late delivery caused line stoppage at customer site. Product=Industrial Switch 070; shipment=SHP-004241; probable root cause=production_delay.,negative,PRODUCT:PRD-070;SHIPMENT:SHP-004241;CAUSE:production_delay,closed
CMP-000004,SHP-001948,CUST-0027,PRD-054,2025-10-17 10:00:00,dimension deviation found during final assembly. Product=Power Unit 054; shipment=SHP-001948; probable root cause=on_time.,negative,PRODUCT:PRD-054;SHIPMENT:SHP-001948;CAUSE:on_time,closed
CMP-000005,SHP-005004,CUST-0001,PRD-012,2026-05-13 14:00:00,late delivery caused line stoppage at customer site. Product=Connector 012; shipment=SHP-005004; probable root cause=production_delay.,negative,PRODUCT:PRD-012;SHIPMENT:SHP-005004;CAUSE:production_delay,closed
CMP-000006,SHP-003402,CUST-0002,PRD-030,2026-05-19 09:00:00,wrong label on carton created receiving delay. Product=Sensor Module 030; shipment=SHP-003402; probable root cause=quality_hold.,negative,PRODUCT:PRD-030;SHIPMENT:SHP-003402;CAUSE:quality_hold,closed
CMP-000007,SHP-003273,CUST-0095,PRD-056,2026-01-04 16:00:00,dimension deviation found during final assembly. Product=Industrial Switch 056; shipment=SHP-003273; probable root cause=on_time.,negative,PRODUCT:PRD-056;SHIPMENT:SHP-003273;CAUSE:on_time,closed
CMP-000008,SHP-004434,CUST-0108,PRD-046,2025-08-21 08:00:00,dimension deviation found during final assembly. Product=Control Board 046; shipment=SHP-004434; probable root cause=on_time.,negative,PRODUCT:PRD-046;SHIPMENT:SHP-004434;CAUSE:on_time,closed
CMP-000009,SHP-000682,CUST-0031,PRD-069,2026-05-10 16:00:00,packaging was damaged but components passed inspection. Product=Sensor Module 069; shipment=SHP-000682; probable root cause=production_delay.,neutral,PRODUCT:PRD-069;SHIPMENT:SHP-000682;CAUSE:production_delay,closed
CMP-000010,SHP-001323,CUST-0105,PRD-008,2026-07-03 13:00:00,late delivery caused line stoppage at customer site. Product=Power Unit 008; shipment=SHP-001323; probable root cause=production_delay.,negative,PRODUCT:PRD-008;SHIPMENT:SHP-001323;CAUSE:production_delay,closed
CMP-000011,SHP-001096,CUST-0037,PRD-023,2025-11-02 11:00:00,dimension deviation found during final assembly. Product=Power Unit 023; shipment=SHP-001096; probable root cause=on_time.,negative,PRODUCT:PRD-023;SHIPMENT:SHP-001096;CAUSE:on_time,closed
CMP-000012,SHP-004251,CUST-0086,PRD-078,2026-02-12 12:00:00,late delivery caused line stoppage at customer site. Product=Connector 078; shipment=SHP-004251; probable root cause=material_shortage.,negative,PRODUCT:PRD-078;SHIPMENT:SHP-004251;CAUSE:material_shortage,closed
CMP-000013,SHP-003773,CUST-0109,PRD-052,2025-09-10 11:00:00,late delivery caused line stoppage at customer site. Product=Metal Housing 052; shipment=SHP-003773; probable root cause=production_delay.,negative,PRODUCT:PRD-052;SHIPMENT:SHP-003773;CAUSE:production_delay,closed
CMP-000014,SHP-004031,CUST-0014,PRD-045,2026-01-19 11:00:00,late delivery caused line stoppage at customer site. Product=Control Board 045; shipment=SHP-004031; probable root cause=production_delay.,negative,PRODUCT:PRD-045;SHIPMENT:SHP-004031;CAUSE:production_delay,closed
CMP-000015,SHP-004313,CUST-0057,PRD-026,2026-07-11 11:00:00,late delivery caused line stoppage at customer site. Product=Power Unit 026; shipment=SHP-004313; probable root cause=quality_hold.,negative,PRODUCT:PRD-026;SHIPMENT:SHP-004313;CAUSE:quality_hold,closed
CMP-000016,SHP-003752,CUST-0011,PRD-025,2025-09-06 16:00:00,technical support resolved the issue quickly. Product=Power Unit 025; shipment=SHP-003752; probable root cause=on_time.,positive,PRODUCT:PRD-025;SHIPMENT:SHP-003752;CAUSE:on_time,open
CMP-000017,SHP-005132,CUST-0035,PRD-049,2026-01-16 17:00:00,late delivery caused line stoppage at customer site. Product=Power Unit 049; shipment=SHP-005132; probable root cause=production_delay.,negative,PRODUCT:PRD-049;SHIPMENT:SHP-005132;CAUSE:production_delay,closed
CMP-000018,SHP-002165,CUST-0038,PRD-011,2026-06-13 16:00:00,dimension deviation found during final assembly. Product=Industrial Switch 011; shipment=SHP-002165; probable root cause=quality_hold.,negative,PRODUCT:PRD-011;SHIPMENT:SHP-002165;CAUSE:quality_hold,open
CMP-000019,SHP-003517,CUST-0080,PRD-078,2026-07-04 11:00:00,dimension deviation found during final assembly. Product=Connector 078; shipment=SHP-003517; probable root cause=logistics.,negative,PRODUCT:PRD-078;SHIPMENT:SHP-003517;CAUSE:logistics,closed
CMP-000020,SHP-003718,CUST-0032,PRD-039,2026-01-15 12:00:00,late delivery caused line stoppage at customer site. Product=Industrial Switch 039; shipment=SHP-003718; probable root cause=production_delay.,negative,PRODUCT:PRD-039;SHIPMENT:SHP-003718;CAUSE:production_delay,closed
CMP-000021,SHP-001523,CUST-0099,PRD-021,2025-10-29 14:00:00,late delivery caused line stoppage at customer site. Product=Power Unit 021; shipment=SHP-001523; probable root cause=quality_hold.,negative,PRODUCT:PRD-021;SHIPMENT:SHP-001523;CAUSE:quality_hold,under_review
CMP-000022,SHP-001645,CUST-0051,PRD-004,2025-11-19 13:00:00,late delivery caused line stoppage at customer site. Product=Control Board 004; shipment=SHP-001645; probable root cause=quality_hold.,negative,PRODUCT:PRD-004;SHIPMENT:SHP-001645;CAUSE:quality_hold,open
CMP-000023,SHP-002881,CUST-0118,PRD-063,2026-03-16 14:00:00,technical support resolved the issue quickly. Product=Industrial Switch 063; shipment=SHP-002881; probable root cause=material_shortage.,positive,PRODUCT:PRD-063;SHIPMENT:SHP-002881;CAUSE:material_shortage,closed
CMP-000024,SHP-000353,CUST-0023,PRD-039,2025-09-16 09:00:00,technical support resolved the issue quickly. Product=Industrial Switch 039; shipment=SHP-000353; probable root cause=production_delay.,positive,PRODUCT:PRD-039;SHIPMENT:SHP-000353;CAUSE:production_delay,closed
CMP-000025,SHP-001563,CUST-0076,PRD-060,2026-03-07 14:00:00,packaging was damaged but components passed inspection. Product=Connector 060; shipment=SHP-001563; probable root cause=on_time.,neutral,PRODUCT:PRD-060;SHIPMENT:SHP-001563;CAUSE:on_time,under_review
CMP-000026,SHP-004744,CUST-0092,PRD-065,2026-02-01 10:00:00,delivery arrived early and quality was acceptable. Product=Connector 065; shipment=SHP-004744; probable root cause=on_time.,positive,PRODUCT:PRD-065;SHIPMENT:SHP-004744;CAUSE:on_time,open
CMP-000027,SHP-002105,CUST-0079,PRD-069,2026-02-10 11:00:00,late delivery caused line stoppage at customer site. Product=Sensor Module 069; shipment=SHP-002105; probable root cause=production_delay.,negative,PRODUCT:PRD-069;SHIPMENT:SHP-002105;CAUSE:production_delay,open
CMP-000028,SHP-000702,CUST-0025,PRD-069,2025-12-24 11:00:00,late delivery caused line stoppage at customer site. Product=Sensor Module 069; shipment=SHP-000702; probable root cause=logistics.,negative,PRODUCT:PRD-069;SHIPMENT:SHP-000702;CAUSE:logistics,closed
